account,trade_count,total_pnl,avg_size,win_rate,avg_fee,sentiment_sensitivity,cluster,pca_1,pca_2
0x083384f897ee0f19899168e3b1bec365f52a9012,2558,1465475.497124,22513.50508600469,0.35809225957779517,2.7216012646598906,-0.07815039505312567,0,2.698825841794175,1.036901077047926
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,6447,43247.46114143,1746.8817186288197,0.45633628044051494,0.39587028409647895,0.08516574389815718,1,-1.1196912257593699,-0.10459842603822958
0x271b280974205ca63b716753467d5a371de622ab,3345,-80632.63698,9631.818863976085,0.31868460388639763,2.6584682457399103,-0.05780934003499322,2,0.9288844604774146,-1.0361443444432825
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,13144,130822.76613451913,510.2270792757152,0.4384510042604991,0.1679888222368305,0.06224556950451279,1,-1.1528869393523897,0.6445623769924899
0x2c229d22b100a7beb69122eed721cee9b24011dd,3099,162637.000103,3183.8909777347526,0.5098418844788641,0.9777399467570184,0.031812330435861375,1,-0.6897125500047389,-0.2237056256394263
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,755,-41851.20928823999,1775.02659602649,0.433112582781457,0.18703690362913905,0.186388713806922,1,-1.484495038728802,-0.7679266870044891
0x39cef799f8b69da1995852eea189df24eb5cae3c,2675,271.3900589300174,6083.819442990654,0.35514018691588783,0.5138694676897196,0.08205395474554562,1,-0.5446528454457901,-0.7398264711129213
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,302,52882.71542665,3649.1132119205295,0.4867549668874172,0.5751936733443709,0.025128147781190806,1,-0.7759760936968215,-0.6712409034291098
0x420ab45e0bd8863569a5efbb9c05d91f40624641,286,186632.53975102102,6702.638531468532,0.3006993006993007,0.9107419125139858,-0.23600736833850858,2,0.8278788905948183,-0.9315496023122323
0x430f09841d65beb3f27765503d0f850b8bce7713,1000,374381.269511,2713.0703699999995,0.431,0.72170313,0.15822822313087978,1,-0.9254495210603222,-0.20595821418469448
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,8278,101715.20016152808,528.1066139164049,0.3550374486590964,0.14798228333799227,0.10162227814990295,1,-1.111200013734988,0.004744944868748008
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,3806,648342.09134181,10051.247138728324,0.4889647924330005,2.035388716287441,-0.07937185441608198,2,0.8281374979976102,0.3531454529956696
0x4f93fead39b70a1824f981a54d4e55b278e9f760,7364,256762.20565799996,17312.235002715915,0.35700706137968496,5.43683078109723,-0.019737565024767856,2,2.4411865687774243,-0.2944733614850968
0x513b8629fe877bb581bf244e326a047b249c4ff1,10211,725684.13689241,40109.37669278229,0.3985897561453335,7.345692838859073,0.013204925350139127,0,4.876949140866595,0.46848544597537806
0x6d6a4b953f202f8df5bed40692e7fd865318264a,913,100861.3263720676,776.1193428258488,0.4238773274917853,0.19905890354041622,0.2872234470942352,1,-1.7734419652395035,-0.5286086538985274
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,1178,383102.00350990996,8566.739915110356,0.28098471986417656,1.198148110432937,0.13261356371003216,1,0.07813387608975174,-0.5098291912348547
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,1153,399928.75243081996,2523.768187337381,0.28274067649609713,0.24013449018213354,-0.1953801500789763,2,0.2989665270103569,-0.5020958933285431
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,8519,344192.59582832,2898.0903016786006,0.7880032867707477,0.2989028041648081,0.07843759959205523,1,-1.5858035959707582,1.0891610689945124
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,820,13106.894609039999,6512.171646341463,0.4304878048780488,0.889251790195122,0.21929150051437848,1,-0.9497161673098689,-0.7470300327144404
0x8170715b3b381dffb7062c0298972d4727a0a63b,4028,-175997.80518792,2428.5393619662364,0.38629592850049654,0.38284623483614694,-0.083633201098664,2,-0.5165626372134542,-0.8268710121147202
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1842,61927.9980538,6444.384402823019,0.3317046688382193,1.8204359132464711,0.1448360689978102,1,-0.17565615359747905,-0.8248941753546554
0x8477e447846c758f5a675856001ea72298fd9cb5,14652,39704.263494529994,823.0388718263719,0.25969150969150967,0.2537885649378925,0.027372988446764827,1,-0.6699555022239578,0.3329632930267985
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2814,117830.27037351,3763.7086034115136,0.2974413646055437,0.9629208871677327,0.02110388356907451,2,-0.19838631406648102,-0.6894235304303133
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,14440,101942.8731465963,1326.3412292243768,0.32894736842105265,0.15395461464014543,0.04345308413160496,1,-0.8275925277240487,0.5276021630427994
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,404,72391.37496916999,2130.975024752475,0.5643564356435643,0.46983445997524764,0.21176350303798266,1,-1.6515152551853869,-0.42212428992279155
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,559,66690.86774139,2992.575259391771,0.40608228980322003,0.9787618239892667,0.11440347432058162,1,-0.7853325284601166,-0.7547278942106788
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,352,21166.0104587254,11984.26900568182,0.30113636363636365,1.4737892024846593,0.009034016647967474,2,0.5863838623246616,-1.1420317038319754
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,13649,2080762.02075918,4074.2589420470363,0.3290350941460913,1.156183297884094,0.09853236195780526,0,0.5706828263401944,3.184095322275513
0xb899e522b5715391ae1d4f137653e7906c5e2115,4266,-12344.471373999993,24421.565921237692,0.4191279887482419,6.448442091420534,0.008807100051614515,2,2.9820934056764816,-0.9553893014945689
0xbaaaf6571ab7d571043ff1e313a9609a10637864,17111,906678.213240781,3843.6790438898956,0.47805505230553447,0.48489400860376375,-0.027256109290664375,0,-0.20978695249043885,2.118502187802605
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2193,173461.75600556997,9099.696839945282,0.28818969448244414,2.13444203120383,-0.022049301964340313,2,0.792899828622531,-0.7989932192506992
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,37841,794736.47115668,1917.769856769113,0.42134193071007636,0.34562826953093206,0.09685528897871473,0,-0.7632088993072983,3.917279200413811
